date,rank,id,brand,name,price,badge,link
"2026-04-20","150","1128213530","Dr. Althea","Pure Grinding Cleansing Balm","₩ 37,006","","https://www.yesstyle.com/en/dr-althea-pure-grinding-cleansing-balm-50ml/info.html/pid.1128213530"
"2026-04-20","151","1116073912","SKIN1004","Madagascar Centella Tea-trica BHA Foam","₩ 25,856","","https://www.yesstyle.com/en/skin1004-madagascar-centella-tea-trica-bha-foam-125ml/info.html/pid.1116073912"
"2026-04-20","152","1132263889","Isntree","Onion Newpair Soothing Mask","₩ 7,918","","https://www.yesstyle.com/en/isntree-onion-newpair-soothing-mask-25g-x-1-sheet/info.html/pid.1132263889"
"2026-04-20","153","1129543149","xixi","Glitter Mud Eyeshadow - 6 Colors","₩ 5,818","","https://www.yesstyle.com/en/xixi-glitter-mud-eyeshadow-6-colors-3-2-7g/info.html/pid.1129543149"
"2026-04-20","154","1137023525","SKIN1004","Madagascar Centella Poremizing Travel Kit","₩ 34,259","","https://www.yesstyle.com/en/skin1004-madagascar-centella-poremizing-travel-kit-4-pcs/info.html/pid.1137023525"
"2026-04-20","155","1135248571","d'Alba","White Truffle First Spray Serum","₩ 42,501","","https://www.yesstyle.com/en/dalba-white-truffle-first-spray-serum-100ml/info.html/pid.1135248571"
"2026-04-20","156","1113064808","SKIN1004","Madagascar Centella Quick Calming Pad","₩ 34,259","","https://www.yesstyle.com/en/skin1004-madagascar-centella-quick-calming-pad-70-sheets/info.html/pid.1113064808"
"2026-04-20","157","1132845678","Anua","Rice 70 Glow Milky Toner Mini","₩ 14,382","","https://www.yesstyle.com/en/anua-rice-70-glow-milky-toner-mini-40ml/info.html/pid.1132845678"
"2026-04-20","158","1133226211","Abib","PDRN Collagen Lip Mask Glazed Jelly","₩ 21,654","","https://www.yesstyle.com/en/abib-pdrn-collagen-lip-mask-glazed-jelly-11g/info.html/pid.1133226211"
"2026-04-20","159","1127951299","Pudaier","Matte Lippie Pencil - 12 Colors","₩ 5,818","","https://www.yesstyle.com/en/pudaier-matte-lippie-pencil-12-colors-10-2g/info.html/pid.1127951299"
"2026-04-20","120","1117014693","TIRTIR","Mask Fit Red Cushion - 40 Colors","₩ 40,400","","https://www.yesstyle.com/en/tirtir-mask-fit-red-cushion-40-colors-55n-espresso/info.html/pid.1117014693"
"2026-04-20","121","1123475705","romand","Lip Mate Pencil - 10 Colors","₩ 19,392","","https://www.yesstyle.com/en/romand-lip-mate-pencil-10-colors-06-under-chili/info.html/pid.1123475705"
